"location","body","time","title","hash"
"newyork","It was a couple of years ago. We met at cupids. You let me handle your monster C%^k. Then I ran into you at Show world. Again you let me have it, You asked me if I could use your back door. I said no. You where the biggest I have ever S&^%ed. You where driving a white Lincoln, Please lets reconnect.","2020-09-21","We met at Cupids - missed connections","c0b06552082b295d9c2916a719bf9d6b"
"pittsburgh","You can not honestly believe the advertising on allow me to share by a real lady right? This place has totally gone to hell, its all automated responses, or guys posting as chicks to get their jollies Don\u2019t risk your job, relationship, or freedom replying to these types of posts!    What you ought to perform is check out the one spot remaining that actually comes through for meeting residents bored and unhappy during this pandemic. The called \u24bb\u24c1\u24be\u24c7\u24c9\u24c8\u24cc\u24b6\u24c5. \u24d2\u24de\u24dc Easy to remember and just type into your computer or phone. Don\u2019t think their true? Go see for yourself and you could thank me later. Stay well everybody!","2020-09-21","41 y/r old uninterested Moooom..... - missed connections","4751de71b0ed4f508d0a03d28cd85ab6"
"pittsburgh","I can't stop thinking about you Jessica. You were the first person in a long time to make me feel good about myself. Probably longer than my hair.Ho...ho...ho","2020-09-21","Hitter - missed connections","06fe0f82668bccc658c73c2eb7d7c045"
"pittsburgh","I'm a guy looking for an old friend, you would call me when you had plumbing issues!","2020-09-21","Looking for an old friend - missed connections","5df304036124e9beafcd855e911a9d8c"
"newyork","Currently seriously here reading these posts, hoping to satisfy anyone to quarantine and chill with?! The Only thing still left allow me to share Scam artiest aiming to screw you with money, or guys pretending to be woman to see your Johnson Simply by replying you are adding your safety and private information on the line!    Their very own is a place left where each day girls go as well as the five-o legally have to stay from. That is certainly a view called \u24bb\u24c1\u24be\u24c7\u24c9\u24c8\u24cc\u24b6\u24c5. \u24d2\u24de\u24dc Just search to get it on \u24bc\u24c4\u24c4\u24bc\u24c1\u24ba as well as its there in the '' spot.. Check it out to see for your own.. You won\u2019t be disappointed!","2020-09-21","Woman wants a man for regular fun?? - missed connections","aaa2aea3127bfad4a920a1c1de0f46a3"
"newyork","Bike shop guy, I\u2019d like to meet again. Thanks for the great service.","2020-09-21","Bike shop guy - missed connections","4f2ef5e3421d1c20090d98a01e53390f"
"newyork","Saw you in sandyhook Wednesday.. you had blue shorts i had none.. we talked , helped each other...if you see this email me ...","2020-09-21","Sandyhook wednesday - missed connections","58865e95e307c813ddcab234ec4e5be2"
"pittsburgh","Good looking, in shape bi-MWM HD rider looking for a riding buddy. 53 years old, 6'1'/245, muscular, tattooed, clean shaven. Looking to meet a similar guy to go riding with, have fun with afterward. Local rides, multi day interstate trips. Let's ride and have some fun this fall.","2020-09-21","Harley Rider Looking for Riding Partner - missed connections","741b8d0cbc5be461702d12c339e93d66"
"newyork","I'm the guy with white truck, Saw you in linden home depot, gave me some information you are olde , gray hair and thick mustache, , if you see this let's talk again and let me know if you need help to complete home your project.","2020-09-21","Linden Home Depot - missed connections","b19bacc725b0ff4c3791e33016ee185b"
"pittsburgh","I\u2019m looking for a lady under 25 and over 18 who wishes to experience and learn about bond*ge without having to worrying about putting out, sexually.This would be strictly you experiencing all the toys, positions, and situations.If you're a newbie or experienced and wish to learn more, contact me.","2020-09-20","Looking for lady who wishes to learn about bondage - missed...","d1aa84e1f5a0dc6aa9c8d48373c585b4"
"raleigh","Any other guys bored to?","2020-09-20","Bored guy here..anyone else? - missed connections","7b4c964330a9d952c97a7a3d4638868a"
"pittsburgh","Critically, you will find guys the fact that still believe you will discover actual chicks upon here?! Only stuff you will find about here are fake ads and popo aiming to catch guys looking to get lucky You want to stop wasting time on in this article, all you performing is putting your throat on the line\u2026 Allow me to share with you the very last place left filled up with every day babes which can be serious about sharing photos and meeting to chill. Simply \u24bc\u24c4\u24c4\u24bc\u24c1\u24ba the brand \u24bb\u24c1\u24be\u24c7\u24c9\u24c8\u24cc\u24b6\u24c5. \u24d2\u24de\u24dc and you should see it here at the top Check this out and find out for your own.. You won\u2019t be disappointed!","2020-09-20","looking for a friend - missed connections","90229ffe14ffd27226c12180778b6de0"
"newyork","We sat across from each other on Thurs 9/17 around 4pm in Washington Square Park. You wore a black blouse and cutoffs.  Your auburn hair was gathered in a low bun at the back. We stole glances at each other. You lingered and then left when my friends showed up. Did you want me to say hello? It seemed like it, but I didn't want to intrude if my perception was incorrect. I am the blond guy with the bike. Lmk if you'd like to get a coffee sometime. No expectations except a new friendship.","2020-09-20","Sipping seltzer near the Arch - missed connections","19c0297f84e9a1ea7f6523d1ef88ed81"
"raleigh","You were the beautiful lady in the red shorts and white top from 8:30 to 9:30  It was nice seeing you around the lake . I\u2019m pretty sure you smiled under your mask . Would like to say hi !","2020-09-20","Apex Community Park Monday 9-7 - missed connections","5718c578622ab3f6e07a4ff43cc3a182"
"pittsburgh","Divorced guy here..looking for a bud to Jerk off with","2020-09-20","JO Bud - missed connections","b7d3714fb16e2667c103c40a6785ac9c"
"newyork","Pretty lady in blue n white shirt , I walked past you then I turned around wanted to see your face n you said you lose your concentration , yes you Mesmerize me I know this is a longshot but if this is you tell me what I was wearing","2020-09-20","Lost Concentration - missed connections","c865200e49901975611a016b1f98e0c6"
"pittsburgh","I'm a 32 year old female seeking a male for fun this morning maybe more, please feel free to message me. Will send pics upon request","2020-09-20","32y/o female seeking *day & night* - missed connections","101bc1774436c146f4991476fba7bf7e"
"newyork","I\u2019ve run past you walking your black lab a few times around noon near the Audubon... Hope you\u2019re out there!","2020-09-20","Walking your black lab - missed connections","d284544c47c474b700503fdfba0967a0"
