body,time,hash,location,title
"﻿body",time,hash,location,"title"
"You would always work out at the same time as me and I feel like our eyes continued to meet.  You're the really cute blonde that would go around lunch time.  Please reach out.",12/22/17,23e09d737b857818e1ef9aead02a1199,raleigh,"I don't know what I'm doing.... - w4m - missed connections"
"Don't know what brought me here that time I was in a bad place. This place brought me to the depths of hell.When I escaped from him and all he did I should have stayed away. I am in a good place now, a very good place. Shouldn't have come back.Just easy to write my thoughts here. See I can't tell him, for several reason, including getting rejected (I know he can't feel that way about me. He is like all the others, nice woman, great friend, thats all). So I dream in my mind, and posted a few items, just to say he is a amazing man. Hope all is his dreams come true.To the angry bully who tortured/harassed me, you are long gone from my heart.",12/22/17,82118cb8169ba39d1318bfd6e0760919,pittsburgh,"WALMART - m4w - missed connections"
"25yo MTF Here Asking If Any Dom Gents Out Who Enjoy ModificationIf So Message Me & Let's TalkSerious Inquires OnlyOnly Dom Gents ..Expirence Is A Plus Not A Must.. Must Be Dom / Top..Race Isn't Important.. Please Least Have Knowledge About Modification",12/22/17,359bc65e06ee5b48ce649163d5d4f275,raleigh,"Are You Searching For A Doll🤔 - t4m - missed connections"
"You were with the cutest little toddler ever, and I couldn't look away as we were getting off at penn. Somehow we ended up at the same exit and I held the door open for you and offered you directions. I didnt want to offer my number while you had a kid with you so late past bedtime. You seemed very sweet and I'd love to have gotten a chance to talk. If you see this, tell me what kind of patterned jacket I was wearing",12/22/17,f4250b40cd5174bc64d3a8d6bf645d12,newyork,"Late night NJ transit into the city - missed connections"
"I've been off my routine for the last few weeks.  Today I wondered if you'd noticed.  Any effortless banter missing from your life?  You could break your routine too.",12/22/17,d7b88c497dbb504f643a708132bead9a,pittsburgh,"Off my routine - m4w - missed connections"
"We were both driving on Glenwood today, 12/18. Tell me what you were driving. Not sure if we connected or not.",12/22/17,27bf6039107e4111abaebb29a0b9a40f,raleigh,"Glenwood - m4m - missed connections"
"You and I had oral at the group apartment in the back. You are married and your name starts with J. Mine starts with a J, also. I will just have to be blunt and tell you that I have Chlamydia and I am on antibiotics. I did not know at the time. I thought I was disease free. I am very sorry. Maybe, you did not get it, but you need to get tested. At least I don't have anything else except, possibly kidney stones. I got tested for everything including Hepatitis.!i have had the shots for one type of Hepatitis. Again, I am very sorry. I hope you don't have it or your wife.You do know the risks.",12/22/17,ddbcebe53ed2ff758f6d374fcf5606d3,raleigh,"Group-- Sorry, I have to tell you something - m4m - missed connections"
"Chatted for a moment at mid-week bash several weeks back. You:  Late 40's, medium length hair (5-4, about 130), busty and in killer heels.  Me:  5-10, 175, nice light brown hair and armani shirt.  Let's you and I connect and make some fun happen.",12/22/17,0057fa88313c127b387c41de3ca52d74,newyork,"Club Labyrinth - m4w - missed connections"
"I still feel a need to stayBut the urge to leave Grows more and more Each day, each and every dayMy feelings for you I can never denie, not everBut I am finally understandingWe Will never beYou and me Is only meMy heart breaks some more And as long as I have writtenYou hereOthers have always wantedTo Be YouLolz, they know not The name I look for The heart I long forThe eyes I long to seeThe voice So dear to me The touch I wish was mine Only in My Dreams Is You and meI am delusional Out of my fucking mind So emotional over youLong gone, you have beenAnd my heart still crys, for youStill my thoughts yoursThen now and for eternity YouI know thisYou will have a love That will love you In all the ways I couldAnd all the ways I could notYou deserve the bestThe very bestMy sweetWe once walked Side by sideI have walked Many a mile behind youI nowPrepare my own road Alone",12/22/17,d868bb31caf90e26d4f4aec8f6027983,newyork,"Conflict of emotions - w4m - missed connections"
"I was at Walmart last night with my family and I saw you sitting in the photo department playing with the computer probably uploading photos that you had taken.. I know it was you...you had your little one with you I had mine with me too. it has been a long time since I saw your face you still look so delicious.... I can still remember how good your skin taste from head to toe",12/22/17,65e12beecf9ae3603c6ae58343d3a61c,pittsburgh,"Walmart natrona  heights... Photo dept - m4w - missed connections"
"We talked briefly while waiting for our lunch order today. I saw you as soon as you walked in. I overheard you ordering and asking about the same thing I did regarding the app.I was hoping you would find me at my table and ask to join me after you picked up your order.I saw you leave and I hurried to leave as well, but you were already getting in your car.I'd love to meet you for lunch again sometime.  I'll buy the fries! ;)",12/22/17,9ff91a4e45aadb727edcb7a0b9d24ed7,raleigh,"McDonald's by Crossroads Shopping - m4w - missed connections"
"Incomplete sentences.  I see. Possibly speaking.  To me? Conversing without the need for words is the the ultimate form of communication.  We read each other, as if we were small children enamored by a book of short stories.  And when we used vocalizations, we told one another the supressions deep within our hearts.Song of Solomon 4:7(You told me a story you never told anyone before.  Please give me a clue, perhaps one word, to show me it's you.)",12/22/17,9e441a8dbb81cb600e4ef5de9bf33221,pittsburgh,"Divine Connection (Reply to: Dear Penpal,) - m4w - missed connections"
"So, the last few times I have been in Hasentree, i've seen a beautiful woman walking her dog. Both times in the past week, she has turned her head as I've driven by.  not sure if she is looking to talk or get a bit intimate, but perhaps that could be arranged.",12/22/17,e37e91a5f7e2854b58f48338b66187da,raleigh,"Hasentree Beautiful woman - m4w - missed connections"
"This is to the blond guy I met a cple weeks ago. We met up in a place in Chapel Hill and another HOT older guy came up and jacked both our dicks and when he left I sucked your dick. If this sounds like you HMU with a specific detail... Would like to connect again",12/22/17,f8ad3a084f58a11a7794bb0ab0d8b695,raleigh,"Chapel Hill BJ - m4m - missed connections"
"So, we have been working together and I have admittedly gone above and beyond in a few ways to make sure that you were taken care of. Last week, Wednesday to be exact, in your home, you hugged me. I did not want to let go. It seemed to last forever yet it was over too soon. All I wanted to do was kiss you. Fast forward to today, a public location for a quick follow up meeting and the goodbye was the same. You have nothing holding you back. I am married, yet I want you so desperately. It is driving me crazy! You feel so amazing in my arms and I can only imagine that your kiss would be spectacular.",12/22/17,dd55126a6755c524a47b5d1ad9e9d520,pittsburgh,"Hugging goodbye with you is amazing! - m4w - missed connections"
"We finally got to play today and I think you were surprised. Would love to meet up outside to bookstore. Reply with your name and mine. Really hope to hear from you.",12/22/17,3ba560dfe03c36c5035d5b013a41461f,raleigh,"R at Pegasus today - m4m - missed connections"
"Tell me something so I know it's you. Been thinking about Secret Spot lately.  Hope you have too. Put this up in case you wanted to stay in touch.",12/22/17,1b11499027a97330507f0c190986a1fa,raleigh,"Secret Spot - m4w - missed connections"
"You were in your shopYour skin so creamy and paleFellow child of the moon and nightI'll continue to admire you from afar...",12/22/17,b0a8b22d575ba1f50154ac94a002ee0d,pittsburgh,"No eyebrows - w4m - missed connections"
"I first met you about 1month ago. You were working at the 30 Ave.train station. I asked you a question about the train service and you replied read the information poster on the wall.....I saw you again today working at the same location.Today's date Friday 22 .I would guess your in your early thirties or early forties. You have a full dark beard. You were wearing a white work hat as well as the orange MTA vest. You had on faded black jeans with white stitching on the two back pockets. You also had on tan work boots. The thing people notice about me is the shock of white streak in my dark hair. Today I was wearing a tan ski jacket and blue jeans. My shoes were grey Sperry Topsiders.I also had a black back pack with turquoise stiching.Today you passed me while we were crossing the street and you had your hands in your jacket pocket. We looked at one another but no words were exchanged. I wish I would of said hello but.....  I think you are very handsome and would like to meet you for a cup of coffee.If you see this please reply and let me know the name of the supermarket on the corner by your work site.",12/22/17,5edfba52713741665545ce96a3c293e9,newyork,"Hot MTA Worker/Astoria - m4m - missed connections"
"To the muscular dude in the steam room and sauna today at equinox. Can't bekieve we couldn't get alone. Gave it a good try. I jerked you off for a few minutes and you told me i was hot. Hit me up.",12/22/17,06ddc2968d528118d0b33df2783efd5d,newyork,"Equinox sports club - m4m - missed connections"
"I went there to buy some toysI'm Latino smooth body and fitBut I saw guys walking to the backMostly was blk guys and SpanishBut there bulge was out and they was hard a guy was bold and his dick was like 10in so big and thick I wanted to suck him in the booths but ppl there got me shy and left If ur a hung guy hit me upBody and dick pixAge and how big are you",12/22/17,92d2a5d632f6e25b25b315e81de382bb,newyork,"Video booth a hung blk guys I'm a btm - m4m - missed connections"
"Thursday afternoon around 2:45 in the sauna. You have a mustache. We messed around a bit, then someone came in and I had to leave to be somewhere. You're so sexy. You have a mustache and a hot body. Great chest. Been wanting to get your cock in my mouth for a few years now.Would love some time alone with you.",12/22/17,e6f9e91aa2b200b9f1e19fa08ec3c12d,newyork,"NYSC 14th St - m4m - missed connections"
"I saw you out on a walk this past Saturday, December 16th in Lawrenceville.  We kept passing each other down the hill, and then along Butler Street. Again, and again, I kept missing my opportunity to say hello!  Eventually we ended up on opposite sides of the street.  You have a beautiful coat and I would have loved to give you a quick pet!  If you see this, let me know.  Perhaps your person can let me join you for a walk or a trip to the dog park?  He was pretty cute, too.",12/22/17,5403343419a06ebefff2da3deef75a4e,pittsburgh,"Missed Connection with a Shiba Inu - w4m - missed connections"
"You are working out right now. I think you are so sexy. If interested in me hit me up with the gym we're at. I'm wearing blue shirt and green shoes. This could also be a workout buddy situation.",12/22/17,ba9b4701ad07e2553b540b9f3cacef40,raleigh,"Gray hat, green shorts - m4m - missed connections"
"You took my words away when you smiled at me and your beauty also caught me off guard. I wish we had more time for small talk or at least got your name and number.   I not even sure if you married or not.   I would luv to meet again and maybe fix you my special mix drink sometime.  Please put something personal in your response like ... What that drink would be... what I was wearing?...what I was purchasing? so I will know it is you.  I hope I sparked an interest...you sure did.  I know this is a long shot but maybe it will worth it.",12/22/17,74f5e9d285258dc61cedf3b4be916699,raleigh,"12/10 at food lion   'great minds think alike' - m4w - missed connections"
"I was sitting at a four top with my mom and family for lunch on Wed, the 20th.  You came in with a co-worker (I believe) and sat in the booth in front of me.  You are handsome, bearded, nice smile and eyes.  We kept stealing glances occasionally at one another until you locked in a stare at me and seemed to mouth something, all the while looking directly at me. You then went back to your table conversation.  I'd love to meet up sometime.  Let me know!",12/22/17,f9ba74497dbafeaca162ef79042d28e0,raleigh,"Lingering glance at J. Alexander's - m4m - missed connections"
"2:30-3pm rangesteam room/saunayou are around 20yo, white male, 6foot1 or2.  uncut. thanks for the show.i was sitting beside you in the sauna for about 20mins before i had to hit the shower and go.let me know something about you. or me, so i know, you are you.",12/22/17,2de299b80d1cf355fca3f6a9838e5a6f,raleigh,"today at the Y - m4m - missed connections"
"Has nothing to do with the post/person of 'don't miss'. Two completely different people/intent. Thank you!!!!!!!! Lol",12/22/17,2d8d98e58dc1389fec9e7c53c950d303,raleigh,"Excuse me...my post(slick) lol - w4m - missed connections"
"I washed the last piece of clothing that still smelled of you today. You left so abruptly and although I logically understand why, that's like logically understanding the path a bullet takes as it speeds towards your heart.  The pain isn't diminished.  I knew we could never truly be together.  But I thought what we had existed out of space and time and I didn't think we would be so apart.  I looked forward to knowing you for a long long time.  It's been 10 days since I last kissed you and held you and 9 days since you reached inside my chest and crushed my heart. I won't reach out because I said I wouldn't.  But I want to.  Every day.   I wonder if you ever think about reaching out. Or changing your mind.  Do you even think about me?God I fucking miss you. I know you won't ever see this.Be good beautiful.  I love you.",12/22/17,e90cb08ff5bd8d7228cc5b73645d02c5,newyork,"Still waiting - m4w - missed connections"
"Hey u message me,  I was trying to reply to meet you tuesday...then all our emails just were gone. I'm sorry I know it's some ass who is accessing my stuff.Please if u see this reach out asap!!! Been really looking forward to hanging out and partying!!!!",12/22/17,d4b3e3e97c2ca14addddc5c2bfb43da8,raleigh,"WF iso reply 'Not what ur looking for' your info got deleted.. - w4m - missed connections"
"I saw you at Bojangles Saturday afternoon on Glenwood. I saw you before I ordered and then after I got my food you got a drink and sat in the booth behind me. You only sat there for a few minutes and then left. I thought there could have been a vibe, but I could have just been reading the situation wrong. Anyway if you happen to see this shoot me a message and let me know where I first saw you.",12/22/17,0ff0fa5fe87d30c19de81545d5194177,raleigh,"Bojangles Saturday - m4m - missed connections"
